"country","region","subregion","year","total.fertility.rate","life.expectancy.both.sexes","life.expectancy.males","life.expectancy.females"
"Afghanistan","Asia","South-Central Asia",2002,6,46.1,45.11,47.15
"Afghanistan","Asia","South-Central Asia",2022,4.624,53.65,52.1,55.28
"Albania","Europe","Southern Europe",2002,1.9949,75.44,72.79,78.43
"Albania","Europe","Southern Europe",2022,1.5402,79.47,76.8,82.33
"Algeria","Africa","Northern Africa",2002,2.3304,72.99,72.06,73.97
"Algeria","Africa","Northern Africa",2022,2.5058,78.03,76.57,79.57
"American Samoa","Oceania","Polynesia",2002,3.903,69.92,68.38,71.55
"American Samoa","Oceania","Polynesia",2022,2.206,75.32,72.83,77.97
"Andorra","Europe","Southern Europe",2002,1.4164,82.36,80.4,84.35
"Andorra","Europe","Southern Europe",2022,1.4474,83.42,81.2,85.79
"Angola","Africa","Middle Africa",2002,6.7183,53.27,51.34,55.26
"Angola","Africa","Middle Africa",2022,5.8291,62.11,60.05,64.24
"Anguilla","Americas","Caribbean",2002,1.7404,79.14,76.94,81.41
"Anguilla","Americas","Caribbean",2022,1.7235,82.2,79.59,84.89
"Antigua and Barbuda","Americas","Caribbean",2002,2.106,74.23,72.56,75.98
"Antigua and Barbuda","Americas","Caribbean",2022,1.952,77.8,75.63,80.08
"Argentina","Americas","South America",2002,2.4669,75.23,72.16,78.49
"Argentina","Americas","South America",2022,2.182,78.31,75.23,81.59
"Armenia","Asia","Western Asia",2002,1.7325,71.75,68.8,75.24
"Armenia","Asia","Western Asia",2022,1.6502,76.13,72.86,79.68
"Aruba","Americas","Caribbean",2002,1.8583,73.37,70.34,76.46
"Aruba","Americas","Caribbean",2022,1.826,78.01,74.93,81.15
"Australia","Oceania","Australia/New Zealand",2002,1.7529,79.7,77.25,82.27
"Australia","Oceania","Australia/New Zealand",2022,1.7339,83.09,80.93,85.36
"Austria","Europe","Western Europe",2002,1.3928,78.88,76.1,81.79
"Austria","Europe","Western Europe",2022,1.5067,82.27,79.64,85.04
"Azerbaijan","Asia","Western Asia",2002,1.777,68.22,65.32,71.61
"Azerbaijan","Asia","Western Asia",2022,1.8646,74.15,71.08,77.41
"Bahamas, The","Americas","Caribbean",2002,2.0151,71.77,68.44,75.19
"Bahamas, The","Americas","Caribbean",2022,1.977,76.13,73.2,79.14
"Bahrain","Asia","Western Asia",2002,2.4765,75.44,73.5,77.43
"Bahrain","Asia","Western Asia",2022,1.6697,79.9,77.63,82.24
"Bangladesh","Asia","South-Central Asia",2002,3.032,68.18,66.49,69.94
"Bangladesh","Asia","South-Central Asia",2022,2.09,74.7,72.52,76.96
"Barbados","Americas","Caribbean",2002,1.7065,74.69,72.06,77.36
"Barbados","Americas","Caribbean",2022,1.7038,78.55,75.79,81.35
"Belarus","Europe","Eastern Europe",2002,1.21,68.23,62.37,74.43
"Belarus","Europe","Eastern Europe",2022,1.5112,74.28,68.9,79.97
"Belgium","Europe","Western Europe",2002,1.6523,78.12,75.14,81.26
"Belgium","Europe","Western Europe",2022,1.7685,81.86,79.25,84.59
"Belize","Americas","Central America",2002,3.956,72.46,70.86,74.15
"Belize","Americas","Central America",2022,2.624,75.82,74.23,77.5
"Benin","Africa","Western Africa",2002,5.9511,54.51,53.03,56.06
"Benin","Africa","Western Africa",2022,5.4289,62.21,60.39,64.14
"Bermuda","Americas","Northern America",2002,1.99,79.43,76.04,83
"Bermuda","Americas","Northern America",2022,1.8983,82.04,78.96,85.28
"Bhutan","Asia","South-Central Asia",2002,3.4,62.65,61.91,63.42
"Bhutan","Asia","South-Central Asia",2022,1.79,72.31,71.19,73.49
"Bolivia","Americas","South America",2002,3.84,65.59,63.37,67.92
"Bolivia","Americas","South America",2022,2.328,72.5,71.04,74.02
"Bosnia and Herzegovina","Europe","Southern Europe",2002,1.2022,73.88,70.6,77.36
"Bosnia and Herzegovina","Europe","Southern Europe",2022,1.3607,77.98,75.02,81.15
"Botswana","Africa","Southern Africa",2002,3.4632,50.57,49.56,51.61
"Botswana","Africa","Southern Africa",2022,2.394,65.64,63.6,67.74
"Brazil","Americas","South America",2002,2.2585,70.04,66.47,73.79
"Brazil","Americas","South America",2022,1.8,75.92,72.5,79.5
"Brunei","Asia","South-Eastern Asia",2002,2.4276,74.06,72.21,76
"Brunei","Asia","South-Eastern Asia",2022,1.742,78.38,76.01,80.86
"Bulgaria","Europe","Eastern Europe",2002,1.2201,71.65,68.5,75.05
"Bulgaria","Europe","Eastern Europe",2022,1.5001,75.57,72.36,78.97
"Burkina Faso","Africa","Western Africa",2002,6.6897,53.48,52.34,54.65
"Burkina Faso","Africa","Western Africa",2022,4.266,63.44,61.63,65.31
"Burma","Asia","South-Eastern Asia",2002,2.68,61.55,59.45,63.78
"Burma","Asia","South-Eastern Asia",2022,2.022,69.92,68.27,71.67
"Burundi","Africa","Eastern Africa",2002,6.5168,55.85,53.79,57.98
"Burundi","Africa","Eastern Africa",2022,5.034,67.42,65.32,69.59
"Cabo Verde","Africa","Western Africa",2002,3.335,67.87,65.89,69.92
"Cabo Verde","Africa","Western Africa",2022,2.128,73.75,71.41,76.15
"Cambodia","Asia","South-Eastern Asia",2002,3.542,58.7,56.56,60.93
"Cambodia","Asia","South-Eastern Asia",2022,2.2404,70.65,68.79,72.59
"Cameroon","Africa","Middle Africa",2002,5.6808,52.56,51.43,53.72
"Cameroon","Africa","Middle Africa",2022,4.552,63.27,61.49,65.09
"Canada","Americas","Northern America",2002,1.5029,80.27,77.84,82.83
"Canada","Americas","Northern America",2022,1.5699,83.8,81.52,86.21
"Cayman Islands","Americas","Caribbean",2002,1.9134,78.6,76.14,81.1
"Cayman Islands","Americas","Caribbean",2022,1.8245,82.04,79.35,84.79
